Subjects,fs_l_bankssts_myel,fs_l_caudalanteriorcingulate_myel,fs_l_caudalmiddlefrontal_myel,fs_l_cuneus_myel,fs_l_entorhinal_myel,fs_l_fusiform_myel,fs_l_inferiorparietal_myel,fs_l_inferiortemporal_myel,fs_l_isthmuscingulate_myel,fs_l_lateraloccipital_myel,fs_l_lateralorbitofrontal_myel,fs_l_lingual_myel,fs_l_medialorbitofrontal_myel,fs_l_middletemporal_myel,fs_l_parahippocampal_myel,fs_l_paracentral_myel,fs_l_parsopercularis_myel,fs_l_parsorbitalis_myel,fs_l_parstriangularis_myel,fs_l_pericalcarine_myel,fs_l_postcentral_myel,fs_l_posteriorcingulate_myel,fs_l_precentral_myel,fs_l_precuneus_myel,fs_l_rostralanteriorcingulate_myel,fs_l_rostralmiddlefrontal_myel,fs_l_superiorfrontal_myel,fs_l_superiorparietal_myel,fs_l_superiortemporal_myel,fs_l_supramarginal_myel,fs_l_frontalpole_myel,fs_l_temporalpole_myel,fs_l_transversetemporal_myel,fs_l_insula_myel,fs_r_bankssts_myel,fs_r_caudalanteriorcingulate_myel,fs_r_caudalmiddlefrontal_myel,fs_r_cuneus_myel,fs_r_entorhinal_myel,fs_r_fusiform_myel,fs_r_inferiorparietal_myel,fs_r_inferiortemporal_myel,fs_r_isthmuscingulate_myel,fs_r_lateraloccipital_myel,fs_r_lateralorbitofrontal_myel,fs_r_lingual_myel,fs_r_medialorbitofrontal_myel,fs_r_middletemporal_myel,fs_r_parahippocampal_myel,fs_r_paracentral_myel,fs_r_parsopercularis_myel,fs_r_parsorbitalis_myel,fs_r_parstriangularis_myel,fs_r_pericalcarine_myel,fs_r_postcentral_myel,fs_r_posteriorcingulate_myel,fs_r_precentral_myel,fs_r_precuneus_myel,fs_r_rostralanteriorcingulate_myel,fs_r_rostralmiddlefrontal_myel,fs_r_superiorfrontal_myel,fs_r_superiorparietal_myel,fs_r_superiortemporal_myel,fs_r_supramarginal_myel,fs_r_frontalpole_myel,fs_r_temporalpole_myel,fs_r_transversetemporal_myel,fs_r_insula_myel
100206,1.33,0.8255,1.2816,1.5162,1.1178,1.292,1.3045,1.2094,1.1954,1.4613,1.2483,1.4754,1.1652,1.23,1.434,1.4251,1.2757,1.2099,1.2824,1.5575,1.424,1.0978,1.4454,1.3214,0.8954,1.2254,1.2356,1.3619,1.3035,1.2858,1.2059,1.1011,1.6775,1.2293,1.4115,1.2793,1.2303,1.3066,1.0749,1.326,1.4065,1.368,1.3057,1.45,1.2489,1.2737,1.2371,1.5055,1.1878,1.4065,1.1054,1.1939,1.2006,1.401,1.379,1.3015,1.2844,1.3025,1.2026,1.2053,1.3279,1.3371,0.2689,1.2112,1.21,0.8034,0,0.3184
100307,1.3288,0.8235,1.2931,1.5015,1.1479,1.2828,1.3021,1.2211,1.1911,1.4659,1.2457,1.4718,1.1634,1.2415,1.4962,1.4416,1.2722,1.1557,1.2847,1.5506,1.4327,1.0749,1.4561,1.3372,0.9179,1.2318,1.2342,1.3583,1.3056,1.282,1.1819,1.0725,1.6584,1.2539,1.478,1.2826,1.2252,1.3189,1.0788,1.315,1.4082,1.3773,1.3391,1.4608,1.2454,1.2743,1.242,1.5031,1.1681,1.4056,1.0987,1.1634,1.1899,1.396,1.3797,1.303,1.2866,1.3096,1.2163,1.209,1.3322,1.3374,0.2546,1.2154,1.2073,0.7521,0,0.3417
100408,1.3393,0.8155,1.2936,1.5246,1.1901,1.2901,1.3055,1.2003,1.2266,1.4699,1.2389,1.4836,1.1646,1.2353,1.372,1.4727,1.2722,1.2172,1.2949,1.5312,1.4208,1.1074,1.4586,1.3127,0.8893,1.2193,1.2354,1.3602,1.306,1.2782,1.164,1.0685,1.6182,1.2267,1.4523,1.2784,1.23,1.3114,1.0757,1.3139,1.4135,1.3825,1.3175,1.4565,1.1722,1.2903,1.2217,1.4768,1.1748,1.4217,1.0945,1.2176,1.1997,1.383,1.378,1.3005,1.2898,1.2875,1.156,1.206,1.3343,1.3372,0.2614,1.2099,1.2534,0.7588,0,0.4121
100610,1.2914,0.8093,1.2955,1.5476,1.2031,1.2937,1.301,1.2153,1.2084,1.4588,1.2419,1.4626,1.1801,1.2323,1.3665,1.4449,1.2843,1.1997,1.2966,1.5478,1.4478,1.0889,1.446,1.3199,0.8863,1.2319,1.2277,1.3594,1.313,1.2831,1.2117,1.0656,1.666,1.2201,1.462,1.3182,1.2445,1.2942,1.0798,1.3128,1.415,1.3884,1.3569,1.4435,1.2375,1.2671,1.2743,1.4669,1.1685,1.4128,1.0866,1.1954,1.2228,1.4024,1.3865,1.3017,1.2863,1.2981,1.1987,1.2213,1.3303,1.3346,0.2597,1.2093,1.191,0.7926,0,0.3348
101107,1.3192,0.8152,1.3041,1.5114,1.182,1.3011,1.3071,1.2075,1.1369,1.4602,1.2385,1.487,1.175,1.2515,1.3869,1.451,1.2639,1.2013,1.2822,1.5626,1.4375,1.0977,1.4505,1.3389,0.9082,1.2343,1.2347,1.3628,1.3103,1.2851,1.1318,1.0144,1.645,1.2164,1.4595,1.2925,1.2337,1.3251,1.0803,1.3252,1.4017,1.3904,1.3464,1.455,1.2401,1.2777,1.2119,1.4684,1.1796,1.4143,1.1012,1.1792,1.1868,1.3958,1.3814,1.2977,1.2871,1.3021,1.1906,1.2071,1.3335,1.3398,0.2439,1.2123,1.2364,0.8032,0,0.3325
101309,1.3177,0.823,1.3108,1.518,1.1662,1.2968,1.3172,1.2163,1.2112,1.4665,1.2408,1.4929,1.1912,1.2496,1.3275,1.4572,1.2774,1.2304,1.3034,1.5561,1.4335,1.1023,1.4637,1.3345,0.9018,1.2298,1.2334,1.3525,1.3096,1.2834,1.1467,1.0625,1.666,1.2347,1.4632,1.2808,1.237,1.3075,1.0877,1.3246,1.405,1.3987,1.3194,1.4521,1.2414,1.2932,1.2116,1.5026,1.1717,1.4072,1.1,1.1944,1.1768,1.3864,1.3756,1.2957,1.297,1.3025,1.21,1.2057,1.338,1.3444,0.2553,1.2193,1.1833,0.7721,0,0.3657
101410,1.3422,0.8085,1.305,1.5093,1.1615,1.2942,1.3119,1.2408,1.1652,1.4634,1.2504,1.4988,1.1818,1.2312,1.3622,1.4719,1.272,1.1968,1.2805,1.5706,1.4368,1.0827,1.4501,1.3316,0.8849,1.2385,1.2391,1.3631,1.3078,1.27,1.1225,1.0355,1.6719,1.2216,1.4764,1.3137,1.2271,1.3342,1.0844,1.3236,1.398,1.3791,1.3273,1.4443,1.2414,1.286,1.2219,1.5027,1.1648,1.4021,1.1031,1.2079,1.2039,1.3603,1.377,1.295,1.2936,1.2995,1.1943,1.2181,1.3367,1.3416,0.2545,1.2074,1.2321,0.8,0,0.3939
101915,1.3545,0.8262,1.2903,1.5179,1.174,1.3018,1.2943,1.2204,1.2122,1.4684,1.2404,1.462,1.1686,1.2335,1.389,1.4605,1.2686,1.2078,1.2781,1.5761,1.4476,1.1095,1.4634,1.3225,0.9195,1.2266,1.2286,1.3613,1.3078,1.2877,1.1582,1.0179,1.7034,1.2417,1.4639,1.2879,1.2283,1.2965,1.0864,1.3193,1.4105,1.397,1.3327,1.4475,1.2521,1.2805,1.2486,1.4879,1.1705,1.4099,1.1047,1.1585,1.1823,1.4026,1.3927,1.2931,1.2914,1.3028,1.1782,1.2016,1.3345,1.3345,0.2555,1.2131,1.2371,0.7466,0,0.3473
102008,1.3398,0.8036,1.3091,1.5198,1.2007,1.3022,1.3001,1.2147,1.172,1.4528,1.2364,1.4808,1.1747,1.2416,1.3432,1.4308,1.274,1.2242,1.2619,1.5547,1.4356,1.0999,1.4472,1.3304,0.8984,1.2259,1.2338,1.3629,1.3188,1.2788,1.1629,1.0371,1.6389,1.2321,1.4359,1.3013,1.2316,1.3051,1.0833,1.3215,1.4148,1.3911,1.3265,1.4582,1.2353,1.2917,1.2357,1.4849,1.1647,1.4136,1.1121,1.1871,1.1902,1.3603,1.3879,1.3123,1.2972,1.3064,1.1989,1.2043,1.3276,1.3311,0.2547,1.2172,1.2405,0.7578,0,0.3355
102311,1.3036,0.8472,1.2941,1.5464,1.2278,1.289,1.3111,1.2317,1.1893,1.4706,1.2264,1.4763,1.1878,1.2412,1.3177,1.4287,1.2735,1.2215,1.285,1.5378,1.447,1.1214,1.4484,1.3317,0.9006,1.2334,1.2304,1.3527,1.3149,1.2718,1.1452,1.1024,1.627,1.2441,1.4407,1.3033,1.2367,1.3067,1.0919,1.3267,1.4086,1.3836,1.317,1.4404,1.2612,1.2743,1.2196,1.4925,1.174,1.4152,1.1,1.1843,1.2015,1.3963,1.3719,1.3046,1.2864,1.3067,1.1944,1.2077,1.3298,1.3317,0.2642,1.2187,1.195,0.7376,0,0.341
