Predicting gender 40 2 False relu 10 False 200 False 272 ConnType.STRUCT ConvStrategy.ENTIRE mean 8
Going for ./pytorch_data/hcp_4split_gender_struct_272_10_roi_norm_False
For  {'dropout': 0, 'lr': 0.005, 'weight_decay': 0.05}
2-0-Epoch: 001, Loss: 0.7013901 / 0.6911940, Auc: 0.5074 / 0.4968, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 002, Loss: 0.6699691 / 0.6921969, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 003, Loss: 0.6577865 / 0.6941801, Auc: 0.5000 / 0.5000, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 004, Loss: 0.6563494 / 0.6968921, Auc: 0.6824 / 0.6942, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 005, Loss: 0.6593628 / 0.6881938, Auc: 0.6854 / 0.7123, Acc: 0.5276 / 0.5353, F1: 0.6561 / 0.6587 
2-0-Epoch: 006, Loss: 0.6462174 / 0.7027417, Auc: 0.5169 / 0.5113, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 007, Loss: 0.6457907 / 0.7050040, Auc: 0.6769 / 0.6841, Acc: 0.4591 / 0.4588, F1: 0.6291 / 0.6290 
2-0-Epoch: 008, Loss: 0.6446969 / 0.7081912, Auc: 0.6681 / 0.6797, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 009, Loss: 0.6431474 / 0.7110473, Auc: 0.6050 / 0.6025, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 010, Loss: 0.6412599 / 0.7101666, Auc: 0.6788 / 0.7032, Acc: 0.4591 / 0.4588, F1: 0.6289 / 0.6290 
2-0-Epoch: 011, Loss: 0.6476004 / 0.7102986, Auc: 0.6951 / 0.6997, Acc: 0.4606 / 0.4588, F1: 0.6298 / 0.6290 
2-0-Epoch: 012, Loss: 0.6465041 / 0.6457169, Auc: 0.6994 / 0.7190, Acc: 0.6009 / 0.6044, F1: 0.3390 / 0.3423 
2-0-Epoch: 013, Loss: 0.6429490 / 0.7009814, Auc: 0.6978 / 0.7212, Acc: 0.4783 / 0.4779, F1: 0.6375 / 0.6374 
2-0-Epoch: 014, Loss: 0.6396329 / 0.7182323, Auc: 0.6753 / 0.6807, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 015, Loss: 0.6449715 / 0.6832040, Auc: 0.6955 / 0.7176, Acc: 0.5317 / 0.5353, F1: 0.6584 / 0.6595 
2-0-Epoch: 016, Loss: 0.6452264 / 0.6706948, Auc: 0.7020 / 0.7211, Acc: 0.5744 / 0.5838, F1: 0.6697 / 0.6713 
2-0-Epoch: 017, Loss: 0.6420969 / 0.7206232, Auc: 0.6418 / 0.6484, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 018, Loss: 0.6417317 / 0.7154078, Auc: 0.6966 / 0.7102, Acc: 0.4602 / 0.4588, F1: 0.6296 / 0.6290 
2-0-Epoch: 019, Loss: 0.6427346 / 0.7058775, Auc: 0.7002 / 0.7163, Acc: 0.4661 / 0.4691, F1: 0.6322 / 0.6335 
2-0-Epoch: 020, Loss: 0.6393569 / 0.7199659, Auc: 0.6829 / 0.6903, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 021, Loss: 0.6483122 / 0.6929095, Auc: 0.6929 / 0.7117, Acc: 0.5033 / 0.5029, F1: 0.6481 / 0.6472 
2-0-Epoch: 022, Loss: 0.6436364 / 0.7176830, Auc: 0.6919 / 0.7096, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 023, Loss: 0.6437340 / 0.6375802, Auc: 0.6951 / 0.7225, Acc: 0.6270 / 0.6515, F1: 0.5246 / 0.5416 
