Predicting gender 40 2 False relu 10 False 150 False 272 ConnType.STRUCT ConvStrategy.ENTIRE mean 8
Going for ./pytorch_data/hcp_4split_gender_struct_272_10_subject_norm_False
For  {'dropout': 0, 'lr': 0.005, 'weight_decay': 0.05}
2-0-Epoch: 001, Loss: 0.6953024 / 0.6936657, Auc: 0.5686 / 0.5664, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 002, Loss: 0.6914135 / 0.6939506, Auc: 0.5539 / 0.5413, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 003, Loss: 0.6874114 / 0.6929136, Auc: 0.5713 / 0.5601, Acc: 0.5243 / 0.5074, F1: 0.6182 / 0.6036 
2-0-Epoch: 004, Loss: 0.6859173 / 0.6938511, Auc: 0.5758 / 0.5722, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 005, Loss: 0.6880113 / 0.6924846, Auc: 0.5665 / 0.5641, Acc: 0.5438 / 0.5250, F1: 0.5799 / 0.5605 
2-0-Epoch: 006, Loss: 0.6861452 / 0.6876190, Auc: 0.5877 / 0.5825, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 007, Loss: 0.6894961 / 0.6921277, Auc: 0.5793 / 0.5625, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 008, Loss: 0.6887734 / 0.6907450, Auc: 0.5319 / 0.5338, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 009, Loss: 0.6879116 / 0.6914898, Auc: 0.5722 / 0.5691, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 010, Loss: 0.6894766 / 0.6914969, Auc: 0.5721 / 0.5702, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 011, Loss: 0.6893976 / 0.6911372, Auc: 0.4340 / 0.4340, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 012, Loss: 0.6888348 / 0.6900159, Auc: 0.5846 / 0.5797, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 013, Loss: 0.6898389 / 0.6904246, Auc: 0.5726 / 0.5715, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 014, Loss: 0.6889427 / 0.6901696, Auc: 0.5742 / 0.5718, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 015, Loss: 0.6903276 / 0.6902069, Auc: 0.4487 / 0.4582, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 016, Loss: 0.6901460 / 0.6900141, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 017, Loss: 0.6900450 / 0.6899917, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 018, Loss: 0.6900176 / 0.6899867, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 019, Loss: 0.6899721 / 0.6899346, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 020, Loss: 0.6899641 / 0.6899531, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 021, Loss: 0.6899313 / 0.6899032, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 022, Loss: 0.6899120 / 0.6899014, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 023, Loss: 0.6899007 / 0.6898883, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 024, Loss: 0.6898993 / 0.6898147, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 025, Loss: 0.6898212 / 0.6898069, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 026, Loss: 0.6898986 / 0.6898886, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
