Predicting gender 40 2 False relu 10 False 200 False 272 ConnType.STRUCT ConvStrategy.ENTIRE mean 8
Going for ./pytorch_data/hcp_4split_gender_struct_272_10_roi_norm_False
For  {'dropout': 0, 'lr': 0.005, 'weight_decay': 0.05}
2-0-Epoch: 001, Loss: 0.6938794 / 0.6914552, Auc: 0.5045 / 0.5094, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 002, Loss: 0.6759109 / 0.6929934, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 003, Loss: 0.6657286 / 0.6949704, Auc: 0.4730 / 0.4746, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 004, Loss: 0.6586564 / 0.6973397, Auc: 0.5157 / 0.5199, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 005, Loss: 0.6562794 / 0.6808774, Auc: 0.6986 / 0.7178, Acc: 0.5689 / 0.5721, F1: 0.6657 / 0.6659 
2-0-Epoch: 006, Loss: 0.6516045 / 0.7012398, Auc: 0.6836 / 0.6913, Acc: 0.4591 / 0.4588, F1: 0.6288 / 0.6290 
2-0-Epoch: 007, Loss: 0.6463303 / 0.7008538, Auc: 0.6908 / 0.7054, Acc: 0.4635 / 0.4632, F1: 0.6310 / 0.6309 
2-0-Epoch: 008, Loss: 0.6456813 / 1.0801991, Auc: 0.6920 / 0.7118, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 009, Loss: 0.6450068 / 0.7118540, Auc: 0.6707 / 0.6781, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 010, Loss: 0.6401541 / 0.7136519, Auc: 0.6892 / 0.6998, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 011, Loss: 0.6435234 / 0.7155242, Auc: 0.6808 / 0.6962, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 012, Loss: 0.6434450 / 0.6393815, Auc: 0.6960 / 0.7196, Acc: 0.6381 / 0.6632, F1: 0.6486 / 0.6556 
2-0-Epoch: 013, Loss: 0.6405304 / 0.6705879, Auc: 0.6999 / 0.7224, Acc: 0.5681 / 0.5647, F1: 0.6680 / 0.6629 
2-0-Epoch: 014, Loss: 0.6402468 / 0.7215471, Auc: 0.5010 / 0.5014, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 015, Loss: 0.6407838 / 0.7221524, Auc: 0.5864 / 0.5919, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 016, Loss: 0.6427330 / 0.6730266, Auc: 0.6902 / 0.7113, Acc: 0.5729 / 0.5941, F1: 0.6649 / 0.6761 
2-0-Epoch: 017, Loss: 0.6421781 / 0.6807803, Auc: 0.6961 / 0.7138, Acc: 0.5409 / 0.5412, F1: 0.6620 / 0.6601 
2-0-Epoch: 018, Loss: 0.6402616 / 0.7234154, Auc: 0.5003 / 0.5000, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 019, Loss: 0.6394988 / 0.7228368, Auc: 0.6802 / 0.6831, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 020, Loss: 0.6468470 / 0.7071938, Auc: 0.6781 / 0.7026, Acc: 0.4658 / 0.4691, F1: 0.6318 / 0.6335 
2-0-Epoch: 021, Loss: 0.6403132 / 0.9449913, Auc: 0.6987 / 0.7258, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 022, Loss: 0.6425463 / 0.6416578, Auc: 0.6971 / 0.7207, Acc: 0.6329 / 0.6647, F1: 0.6134 / 0.6346 
2-0-Epoch: 023, Loss: 0.6388272 / 0.7230797, Auc: 0.5282 / 0.5211, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 024, Loss: 0.6424525 / 0.6807524, Auc: 0.6827 / 0.7015, Acc: 0.5361 / 0.5397, F1: 0.6580 / 0.6557 
2-0-Epoch: 025, Loss: 0.6452510 / 3.2211658, Auc: 0.6994 / 0.7266, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 026, Loss: 0.6423415 / 0.6394337, Auc: 0.6948 / 0.7214, Acc: 0.5924 / 0.6103, F1: 0.3086 / 0.3325 
2-0-Epoch: 027, Loss: 0.6420192 / 0.7217281, Auc: 0.5096 / 0.5066, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 028, Loss: 0.6461410 / 1.8797976, Auc: 0.6950 / 0.7221, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 029, Loss: 0.6410805 / 0.6980557, Auc: 0.6898 / 0.7095, Acc: 0.4893 / 0.4897, F1: 0.6422 / 0.6426 
2-0-Epoch: 030, Loss: 0.6440291 / 0.7087669, Auc: 0.6922 / 0.7182, Acc: 0.5468 / 0.5456, F1: 0.0253 / 0.0252 
2-0-Epoch: 031, Loss: 0.6431794 / 1.3705749, Auc: 0.7015 / 0.7265, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 032, Loss: 0.6435337 / 0.7213563, Auc: 0.5143 / 0.5099, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 033, Loss: 0.6475380 / 14.4977857, Auc: 0.7042 / 0.7277, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 034, Loss: 0.6492517 / 0.7205223, Auc: 0.5108 / 0.5106, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 035, Loss: 0.6478118 / 1.7864394, Auc: 0.6979 / 0.7237, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 036, Loss: 0.6481825 / 0.7925358, Auc: 0.6971 / 0.7225, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 037, Loss: 0.6447898 / 0.7081757, Auc: 0.6884 / 0.6997, Acc: 0.4617 / 0.4632, F1: 0.6301 / 0.6309 
2-0-Epoch: 038, Loss: 0.6430542 / 0.7173341, Auc: 0.5824 / 0.5879, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 039, Loss: 0.6447936 / 7.4844402, Auc: 0.7010 / 0.7273, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
For  {'dropout': 0, 'lr': 0.005, 'weight_decay': 0.5}
2-0-Epoch: 001, Loss: 0.6901292 / 0.6914523, Auc: 0.5108 / 0.5291, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 002, Loss: 0.6901169 / 0.6913889, Auc: 0.4565 / 0.4666, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 003, Loss: 0.6913423 / 0.6914893, Auc: 0.5813 / 0.5927, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 004, Loss: 0.6912552 / 0.6911156, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 005, Loss: 0.6912122 / 0.6912752, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 006, Loss: 0.6912994 / 0.6913331, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 007, Loss: 0.6913739 / 0.6913177, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 008, Loss: 0.6912630 / 0.6911189, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 009, Loss: 0.6911920 / 0.6912028, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 010, Loss: 0.6912474 / 0.6912749, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 011, Loss: 0.6913082 / 0.6912975, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 012, Loss: 0.6915426 / 0.6913128, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 013, Loss: 0.6911851 / 0.6910826, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 014, Loss: 0.6913441 / 0.6913719, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 015, Loss: 0.6913214 / 0.6912116, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 016, Loss: 0.6913453 / 0.6913285, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 017, Loss: 0.6913107 / 0.6912162, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 018, Loss: 0.6911831 / 0.6911762, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 019, Loss: 0.6911988 / 0.6912660, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 020, Loss: 0.6913919 / 0.6914258, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 021, Loss: 0.6913497 / 0.6912921, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 022, Loss: 0.6912118 / 0.6911665, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 023, Loss: 0.6912461 / 0.6912282, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 024, Loss: 0.6911585 / 0.6910973, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 025, Loss: 0.6912599 / 0.6914712, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 026, Loss: 0.6914719 / 0.6913764, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 027, Loss: 0.6913398 / 0.6912742, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 028, Loss: 0.6912277 / 0.6912067, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 029, Loss: 0.6911119 / 0.6910981, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
